sale normalSale store ad discount discountSEK week
17 5.4 268 0 46.04 12.8 7
4 5.67 268 0 46.04 12.8 8
12 4.6 269 0 46.04 12.8 7
4 5 269 0 46.04 12.8 8
29 6 270 0 43.4 11.5 7
8 5.5 270 0 43.4 11.5 8
14 6 270 1 33.96 9 9
12 3.6 271 0 46.04 12.8 7
5 4 271 0 46.04 12.8 8
8 1.6 272 0 46.04 12.8 7
3 2 272 0 46.04 12.8 8
34 4.4 273 0 46.04 12.8 7
6 5.67 273 0 46.04 12.8 8
17 1.2 274 0 46.04 12.8 7
8 1 274 0 46.04 12.8 8
9 2.4 275 0 46.04 12.8 7
11 1.33 275 0 46.04 12.8 8
39 3.75 276 0 46.04 12.8 7
8 3.5 276 0 46.04 12.8 8
34 3.75 276 1 37.05 10.3 9
160 20 277 0 28.57 6 7
63 18 277 0 28.57 6 8
30 7.25 278 0 43.4 11.5 7
15 9.5 278 0 43.4 11.5 8
12 7.25 278 1 33.96 9 9
10 0.75 279 0 46.04 12.8 7
3 1 279 0 46.04 12.8 8
18 0.75 279 1 37.05 10.3 9
14 3.5 280 0 46.04 12.8 7
6 3 280 0 46.04 12.8 8
15 3.5 280 1 37.05 10.3 9
7 3.6 281 0 46.04 12.8 7
4 5.33 281 0 46.04 12.8 8
6 1.8 283 0 46.04 12.8 7
6 1.8 284 0 46.04 12.8 7
4 1.33 284 0 46.04 12.8 8
14 2.6 285 0 46.04 12.8 7
6 2.67 285 0 46.04 12.8 8
27 3.5 286 0 46.04 12.8 7
11 3.5 286 0 46.04 12.8 8
36 7 287 0 46.04 12.8 7
23 7 287 0 46.04 12.8 8
30 7 287 1 37.05 10.3 9
24 4.4 288 0 46.04 12.8 7
13 5.67 288 0 46.04 12.8 8
14 3.25 289 0 43.4 11.5 7
10 1 289 0 43.4 11.5 8
4 3.25 289 1 33.96 9 9
46 12.25 290 0 43.4 11.5 7
42 13.5 290 0 43.4 11.5 8
28 12.25 290 1 33.96 9 9
113 8.5 291 0 43.4 11.5 7
37 9.5 291 0 43.4 11.5 8
25 8.5 291 1 33.96 9 9
69 14.75 292 0 43.4 11.5 7
26 16 292 0 43.4 11.5 8
34 14.75 292 1 33.96 9 9
113 10.5 293 0 43.4 11.5 7
34 11 293 0 43.4 11.5 8
79 10.5 293 1 33.96 9 9
15 8.75 294 0 43.4 11.5 7
16 7.5 294 0 43.4 11.5 8
18 8.75 294 1 33.96 9 9
31 14.75 295 0 43.4 11.5 7
21 10 295 0 43.4 11.5 8
34 14.75 295 1 33.96 9 9
130 9.5 296 0 43.4 11.5 7
53 10.5 296 0 43.4 11.5 8
47 9.5 296 1 33.96 9 9
21 5.5 297 0 46.04 12.8 7
17 7.5 297 0 46.04 12.8 8
9 5.5 297 1 37.05 10.3 9
91 13.33 298 0 43.4 11.5 7
84 13.67 298 0 43.4 11.5 8
53 13.33 298 1 33.96 9 9
28 6.25 299 0 37.24 8.9 7
9 6 299 0 37.24 8.9 8
11 6.25 299 1 26.78 6.4 9
22 3 300 0 46.04 12.8 7
5 1.5 300 0 46.04 12.8 8
4 3 300 1 37.05 10.3 9
12 4 301 0 46.04 12.8 7
19 4.5 301 0 46.04 12.8 8
11 4 301 1 37.05 10.3 9
36 4 302 0 46.04 12.8 7
16 5 302 0 46.04 12.8 8
37 16 303 0 43.4 11.5 7
15 13.5 303 0 43.4 11.5 8
61 16 303 1 33.96 9 9
32 4.2 304 0 46.04 12.8 7
26 6.33 304 0 46.04 12.8 8
18 4 305 0 46.04 12.8 7
20 5 305 0 46.04 12.8 8
2 4 306 0 46.04 12.8 7
6 5 306 0 46.04 12.8 8
28 2 307 0 46.04 12.8 7
2 2.33 307 0 46.04 12.8 8
32 2.2 308 0 46.04 12.8 7
37 3.6 309 0 46.04 12.8 7
9 4.67 309 0 46.04 12.8 8
14 2.5 311 0 46.04 12.8 7
8 1 311 0 46.04 12.8 8
9 2.5 311 1 37.05 10.3 9
35 20.75 312 0 39.76 9.9 7
13 17.5 312 0 39.76 9.9 8
30 7 313 0 43.4 11.5 7
20 7.5 313 0 43.4 11.5 8
47 7 313 1 33.96 9 9
43 6.4 314 0 46.04 12.8 7
21 6.67 314 0 46.04 12.8 8
85 49.2 315 0 28.23 5.9 7
72 45.33 315 0 28.23 5.9 8
112 11.5 316 0 43.4 11.5 7
30 11 316 0 43.4 11.5 8
89 11.5 316 1 33.96 9 9
14 11.5 317 0 46.04 12.8 7
31 8.5 317 0 46.04 12.8 8
23 11.5 317 1 37.05 10.3 9
16 5.8 318 0 46.04 12.8 7
9 7 318 0 46.04 12.8 8
79 30.8 319 0 31.51 6.9 7
40 24.67 319 0 31.51 6.9 8
160 60 320 0 31.51 6.9 7
91 68 320 0 31.51 6.9 8
109 29.2 321 0 28.23 5.9 7
72 32.33 321 0 28.23 5.9 8
315 44.6 322 0 28.23 5.9 7
154 45.33 322 0 28.23 5.9 8
203 50.6 323 0 28.23 5.9 7
166 52 323 0 28.23 5.9 8
249 59.4 324 0 28.23 5.9 7
44 68.33 324 0 28.23 5.9 8
148 39 325 0 33.33 7.5 7
72 38 325 0 33.33 7.5 8
86 31 326 0 33.33 7.5 7
76 36.67 326 0 33.33 7.5 8
304 32.8 327 0 33.33 7.5 7
62 36 327 0 33.33 7.5 8
15 1.4 328 0 28.23 5.9 7
8 1 328 0 28.23 5.9 8
73 17.2 329 0 33.33 7.5 7
49 17.67 329 0 33.33 7.5 8
273 50.6 330 0 28.23 5.9 7
47 53.33 330 0 28.23 5.9 8
48 43.2 331 0 28.23 5.9 7
46 46.33 331 0 28.23 5.9 8
524 57.25 332 0 28.23 5.9 7
522 54 332 0 28.23 5.9 8
181 23 333 0 28.23 5.9 7
7 22 333 0 28.23 5.9 8
203 65.8 334 0 33.33 7.5 7
83 57.67 334 0 33.33 7.5 8
185 46.4 335 0 28.23 5.9 7
59 41.67 335 0 28.23 5.9 8
49 24.8 336 0 28.23 5.9 7
358 82 337 0 28.23 5.9 7
201 85.33 337 0 28.23 5.9 8
166 15 338 0 28.23 5.9 7
70 18.67 338 0 28.23 5.9 8
251 48.8 339 0 33.33 7.5 7
90 50.33 339 0 33.33 7.5 8
38 22.4 340 0 33.33 7.5 7
13 27 340 0 33.33 7.5 8
53 35.2 341 0 33.33 7.5 7
20 37.67 341 0 33.33 7.5 8
105 32 342 0 33.33 7.5 7
160 35.67 342 0 33.33 7.5 8
144 39.2 343 0 33.33 7.5 7
138 47.67 343 0 33.33 7.5 8
137 18 344 0 33.33 7.5 7
72 21 344 0 33.33 7.5 8
76 22.2 345 0 33.33 7.5 7
19 29 345 0 33.33 7.5 8
241 53.4 346 0 33.33 7.5 7
100 54.33 346 0 33.33 7.5 8
95 31.4 347 0 28.23 5.9 7
45 27.67 347 0 28.23 5.9 8
194 79.2 348 0 28.57 6 7
140 102 348 0 28.57 6 8
101 30 349 0 33.33 7.5 7
88 32 349 0 33.33 7.5 8
202 39.4 350 0 33.33 7.5 7
29 42.33 350 0 33.33 7.5 8
100 25 351 0 28.23 5.9 7
19 29 351 0 28.23 5.9 8
201 56.6 352 0 33.33 7.5 7
46 62 352 0 33.33 7.5 8
106 41.6 353 0 28.23 5.9 7
35 42.67 353 0 28.23 5.9 8
89 35.4 354 0 33.33 7.5 7
42 39.67 354 0 33.33 7.5 8
204 27.4 355 0 33.33 7.5 7
146 26.67 355 0 33.33 7.5 8
12 19.5 356 0 33.33 7.5 7
17 20.33 356 0 33.33 7.5 8
183 9.6 357 0 33.33 7.5 7
36 3 357 0 33.33 7.5 8
363 34.8 358 0 28.23 5.9 7
30 39 358 0 28.23 5.9 8
286 81.6 359 0 28.23 5.9 7
80 90.67 359 0 28.23 5.9 8
84 60.2 360 0 28.23 5.9 7
29 71 360 0 28.23 5.9 8
40 9.75 99 0 46.04 12.8 7
29 9 99 0 46.04 12.8 8
29 9.75 99 1 37.05 10.3 9
132 24.4 361 0 28.23 5.9 7
64 26 361 0 28.23 5.9 8
65 23 100 0 24.62 4.9 7
66 25.67 100 0 24.62 4.9 8
50 15.8 101 0 24.62 4.9 7
31 13.33 101 0 24.62 4.9 8
26 5.25 102 0 46.04 12.8 7
17 4 102 0 46.04 12.8 8
24 5.25 102 1 37.05 10.3 9
10 4.4 103 0 46.04 12.8 7
17 3.67 103 0 46.04 12.8 8
2 3 104 0 46.04 12.8 7
3 1.33 104 0 46.04 12.8 8
31 1.8 105 0 46.04 12.8 7
14 2 105 0 46.04 12.8 8
21 3.75 106 0 46.04 12.8 7
6 3.5 106 0 46.04 12.8 8
13 3.75 106 1 37.05 10.3 9
10 6.25 107 0 43.4 11.5 7
7 8 107 0 43.4 11.5 8
16 6.25 107 1 33.96 9 9
78 17.6 108 0 24.62 4.9 7
35 17.33 108 0 24.62 4.9 8
99 22 109 0 24.62 4.9 7
36 23.67 109 0 24.62 4.9 8
48 9.5 110 0 46.04 12.8 7
33 8 110 0 46.04 12.8 8
18 9.5 110 1 37.05 10.3 9
31 4 111 0 46.04 12.8 7
11 1.5 111 0 46.04 12.8 8
17 4 111 1 37.05 10.3 9
58 15.25 112 0 43.4 11.5 7
21 16 112 0 43.4 11.5 8
28 15.25 112 1 33.96 9 9
48 10.5 113 0 43.4 11.5 7
28 11.5 113 0 43.4 11.5 8
36 10.5 113 1 33.96 9 9
41 7.5 114 0 43.4 11.5 7
11 7 114 0 43.4 11.5 8
26 7.5 114 1 33.96 9 9
27 11.75 115 0 43.4 11.5 7
17 11 115 0 43.4 11.5 8
55 11.75 115 1 33.96 9 9
23 5.25 116 0 46.04 12.8 7
10 5.5 116 0 46.04 12.8 8
26 5.25 116 1 37.05 10.3 9
9 3.2 117 0 46.04 12.8 7
11 3.67 117 0 46.04 12.8 8
32 4.4 118 0 46.04 12.8 7
10 5.67 118 0 46.04 12.8 8
27 1.25 119 0 46.04 12.8 7
3 1.5 119 0 46.04 12.8 8
2 1.25 119 1 37.05 10.3 9
15 7.5 120 0 46.04 12.8 7
9 7.5 120 1 37.05 10.3 9
35 2.25 121 0 46.04 12.8 7
14 2 121 0 46.04 12.8 8
14 2.25 121 1 37.05 10.3 9
29 7.25 122 0 43.4 11.5 7
11 8.5 122 0 43.4 11.5 8
20 7.25 122 1 33.96 9 9
14 4.4 123 0 46.04 12.8 7
23 2.8 124 0 46.04 12.8 7
14 3.33 124 0 46.04 12.8 8
14 3 125 0 46.04 12.8 7
20 1.67 125 0 46.04 12.8 8
17 8 126 0 43.4 11.5 7
20 8.5 126 0 43.4 11.5 8
34 8 126 1 33.96 9 9
21 2.75 127 0 46.04 12.8 7
9 2.5 127 0 46.04 12.8 8
9 2.75 127 1 37.05 10.3 9
48 5.33 128 0 37.24 8.9 7
16 3.5 128 0 37.24 8.9 8
22 5.33 128 1 26.78 6.4 9
10 1.5 129 0 46.04 12.8 7
8 2.5 129 0 46.04 12.8 8
17 1.5 129 1 37.05 10.3 9
28 7 130 0 46.04 12.8 7
12 5.5 130 0 46.04 12.8 8
10 7 130 1 37.05 10.3 9
10 4 131 0 46.04 12.8 7
9 2.5 131 0 46.04 12.8 8
13 4 131 1 37.05 10.3 9
50 9 132 0 46.04 12.8 7
28 8 132 0 46.04 12.8 8
48 9 132 1 37.05 10.3 9
27 7.5 133 0 43.4 11.5 7
14 6.5 133 0 43.4 11.5 8
17 7.5 133 1 33.96 9 9
40 8.75 134 0 46.04 12.8 7
30 11 134 0 46.04 12.8 8
21 8.75 134 1 37.05 10.3 9
26 7.8 135 0 46.04 12.8 7
17 7.33 135 0 46.04 12.8 8
44 9.25 136 0 46.04 12.8 7
19 10.5 136 0 46.04 12.8 8
29 9.25 136 1 37.05 10.3 9
9 3 137 0 46.04 12.8 7
2 3.33 137 0 46.04 12.8 8
43 3.33 138 0 46.04 12.8 7
10 4 138 0 46.04 12.8 8
30 3.33 138 1 37.05 10.3 9
16 1.8 139 0 46.04 12.8 7
11 2.67 139 0 46.04 12.8 8
16 4.25 140 0 46.04 12.8 7
18 2.6 141 0 46.04 12.8 7
6 1.33 141 0 46.04 12.8 8
78 11 142 0 24.62 4.9 7
20 3.5 143 0 46.04 12.8 7
9 4.5 143 0 46.04 12.8 8
26 3.5 143 1 37.05 10.3 9
14 3.6 144 0 46.04 12.8 7
4 4 144 0 46.04 12.8 8
11 2.4 145 0 46.04 12.8 7
8 1.67 145 0 46.04 12.8 8
12 3.4 146 0 46.04 12.8 7
7 3.67 146 0 46.04 12.8 8
74 30.75 147 1 21.69 5.4 9
13 4 148 1 21.69 5.4 9
21 9 149 0 26.78 6.4 7
10 9 149 0 26.78 6.4 8
30 9 149 1 18.41 4.4 9
9 3 151 0 33.96 9 7
6 1.75 152 1 21.69 5.4 9
11 0.2 153 0 37.05 10.3 7
27 6.75 154 0 39.76 9.9 7
11 5.5 154 0 39.76 9.9 8
25 6.75 154 1 29.72 7.4 9
23 12.75 156 1 26.78 6.4 9
12 2.75 157 0 29.72 7.4 7
6 2.75 157 1 21.69 5.4 9
