sale normalSale store ad discount discountSEK week
28 8 120 1 29.86 8.3 4
21 2.8 121 1 29.86 8.3 4
29 8.8 122 1 26.42 7 4
14 5.4 126 1 26.42 7 4
8 5.8 127 1 29.86 8.3 4
25 8.75 128 1 18.41 4.4 4
6 2 129 1 29.86 8.3 4
18 8.2 130 1 29.86 8.3 4
5 4.4 131 1 29.86 8.3 4
54 10.6 132 1 29.86 8.3 4
12 6.8 133 1 26.42 7 4
27 10.6 134 1 29.86 8.3 4
16 10.2 136 1 29.86 8.3 4
23 4.75 138 1 29.86 8.3 4
71 13.4 142 0 NA NA 2
11 5.75 143 1 29.86 8.3 4
9 3.8 154 1 21.69 5.4 4
9 1.4 157 1 21.69 5.4 4
175 18.5 312 1 34.38 8.56 5
150 50.2 315 1 21.82 4.56 5
81 26.6 319 1 25.39 5.56 5
156 73.6 320 1 25.39 5.56 5
411 51.2 322 1 21.82 4.56 5
115 49 323 1 21.82 4.56 5
322 63 324 1 21.82 4.56 5
101 36.5 325 1 27.38 6.16 5
88 26 326 1 27.38 6.16 5
225 44.4 327 1 27.38 6.16 5
22 6.6 328 1 21.82 4.56 5
69 22.8 329 1 27.38 6.16 5
215 58.4 330 1 21.82 4.56 5
177 44.2 331 1 21.82 4.56 5
303 56.6 332 1 21.82 4.56 5
176 31.2 333 1 21.82 4.56 5
571 62.8 334 1 27.38 6.16 5
182 67 335 1 21.82 4.56 5
91 38 336 1 21.82 4.56 5
294 69 337 1 21.82 4.56 5
82 30.6 338 1 21.82 4.56 5
247 54 339 1 27.38 6.16 5
73 19 340 1 27.38 6.16 5
59 29.8 341 1 27.38 6.16 5
69 20.8 342 1 27.38 6.16 5
217 34.4 343 1 27.38 6.16 5
180 14.6 344 1 27.38 6.16 5
66 23.6 345 1 27.38 6.16 5
183 45 346 1 27.38 6.16 5
110 37.8 347 1 21.82 4.56 5
166 73 348 1 22.19 4.66 5
114 25 349 1 27.38 6.16 5
152 43.4 350 1 27.38 6.16 5
133 26.8 351 1 21.82 4.56 5
258 42.2 352 1 27.38 6.16 5
58 37.8 353 1 21.82 4.56 5
58 30.6 354 1 27.38 6.16 5
238 34.4 355 1 27.38 6.16 5
32 16.8 356 1 27.38 6.16 5
133 19.6 357 1 27.38 6.16 5
283 43.2 358 1 21.82 4.56 5
260 98.2 359 1 21.82 4.56 5
355 79.2 360 1 21.82 4.56 5
75 23.2 361 1 21.82 4.56 5
21 4.5 158 0 46.04 12.8 7
9 6.5 158 0 46.04 12.8 8
16 4.5 158 1 37.05 10.3 9
79 25.5 159 0 43.4 11.5 7
74 22 159 0 43.4 11.5 8
66 25.5 159 1 33.96 9 9
42 8.25 160 0 43.4 11.5 7
18 9 160 0 43.4 11.5 8
30 8.25 160 1 33.96 9 9
53 7 161 0 24.62 4.9 7
28 7 162 0 24.62 4.9 7
16 5 162 0 24.62 4.9 8
6 3 163 0 46.04 12.8 7
10 1.67 163 0 46.04 12.8 8
25 10 164 0 43.4 11.5 7
16 10.5 164 0 43.4 11.5 8
28 10 164 1 33.96 9 9
11 1.25 165 0 46.04 12.8 7
3 1.5 165 0 46.04 12.8 8
24 8.5 166 0 43.4 11.5 7
3 8 166 0 43.4 11.5 8
13 8.5 166 1 33.96 9 9
31 5.4 167 0 24.62 4.9 7
5 7 167 0 24.62 4.9 8
23 5 168 0 24.62 4.9 7
7 4 168 0 24.62 4.9 8
34 6.8 169 0 24.62 4.9 7
21 5.33 169 0 24.62 4.9 8
19 7.67 171 0 43.4 11.5 7
4 7 171 0 43.4 11.5 8
18 7.67 171 1 33.96 9 9
25 4.25 172 0 43.4 11.5 7
19 3.5 172 0 43.4 11.5 8
14 4.25 172 1 33.96 9 9
26 7.5 173 0 46.04 12.8 7
14 9 173 0 46.04 12.8 8
14 7.5 173 1 37.05 10.3 9
25 3.2 174 0 46.04 12.8 7
12 3.33 174 0 46.04 12.8 8
216 9.6 176 0 24.62 4.9 7
31 6 176 0 24.62 4.9 8
29 5.2 177 0 46.04 12.8 7
22 6 177 0 46.04 12.8 8
18 3.5 179 0 46.04 12.8 7
1 3.5 179 0 46.04 12.8 8
11 3.5 179 1 37.05 10.3 9
65 14.67 180 0 29.72 7.4 7
15 11 180 0 29.72 7.4 8
32 14.67 180 1 21.69 5.4 9
36 3.5 181 0 43.4 11.5 7
6 3.5 181 0 43.4 11.5 8
13 3.5 181 1 33.96 9 9
16 3.75 182 0 43.4 11.5 7
20 5 182 0 43.4 11.5 8
16 3.75 182 1 33.96 9 9
6 1.2 183 0 46.04 12.8 7
7 1.33 183 0 46.04 12.8 8
11 4.75 184 0 46.04 12.8 7
6 4.75 184 1 37.05 10.3 9
10 4.2 185 0 46.04 12.8 7
9 4.33 185 0 46.04 12.8 8
8 4.5 186 0 46.04 12.8 7
13 3 186 0 46.04 12.8 8
11 4.5 186 1 37.05 10.3 9
14 3 187 0 46.04 12.8 7
23 5.25 188 0 43.4 11.5 7
12 5.25 188 1 33.96 9 9
41 3.5 189 0 46.04 12.8 7
21 2 189 0 46.04 12.8 8
12 3.5 189 1 37.05 10.3 9
13 3.8 191 0 46.04 12.8 7
13 3 191 0 46.04 12.8 8
9 5.2 192 0 46.04 12.8 7
8 5.67 192 0 46.04 12.8 8
20 4.25 193 0 46.04 12.8 7
3 2.5 193 0 46.04 12.8 8
18 4.25 193 1 37.05 10.3 9
20 2.2 194 0 46.04 12.8 7
5 2 194 0 46.04 12.8 8
14 2.4 195 0 46.04 12.8 7
7 2.67 195 0 46.04 12.8 8
4 2.4 196 0 46.04 12.8 7
19 3.8 197 0 46.04 12.8 7
10 3.67 197 0 46.04 12.8 8
26 10.25 198 0 24.62 4.9 7
32 10.5 198 0 24.62 4.9 8
25 3.25 199 0 46.04 12.8 7
13 5 199 0 46.04 12.8 8
17 3.25 199 1 37.05 10.3 9
19 3.6 200 0 46.04 12.8 7
10 2 200 0 46.04 12.8 8
25 4.5 201 0 43.4 11.5 7
17 3 201 0 43.4 11.5 8
7 4.5 201 1 33.96 9 9
1 2 202 0 46.04 12.8 7
10 2 202 1 37.05 10.3 9
53 9.2 203 0 24.62 4.9 7
40 12.67 203 0 24.62 4.9 8
13 4.25 204 0 46.04 12.8 7
6 5 204 0 46.04 12.8 8
8 4.25 204 1 37.05 10.3 9
47 22.25 206 0 24.62 4.9 7
40 23.5 206 0 24.62 4.9 8
43 22.25 206 1 12.06 2.4 9
20 2.5 207 0 46.04 12.8 7
12 3 207 0 46.04 12.8 8
11 2.5 207 1 37.05 10.3 9
5 2 208 0 46.04 12.8 7
22 8.5 209 0 33.96 9 7
14 8 209 0 33.96 9 8
12 8.5 209 1 26.42 7 9
20 8.5 210 0 43.4 11.5 7
15 7.5 210 0 43.4 11.5 8
16 8.5 210 1 33.96 9 9
2 2 211 0 46.04 12.8 7
6 2.5 211 0 46.04 12.8 8
1 2 211 1 37.05 10.3 9
43 1.6 212 0 24.62 4.9 7
16 2.33 212 0 24.62 4.9 8
67 14 213 0 43.4 11.5 7
33 16 213 0 43.4 11.5 8
36 14 213 1 33.96 9 9
61 19.25 214 0 46.04 12.8 7
41 20.5 214 0 46.04 12.8 8
39 19.25 214 1 37.05 10.3 9
15 5.6 215 0 46.04 12.8 7
35 7.75 216 0 46.04 12.8 7
14 9.5 216 0 46.04 12.8 8
22 7.75 216 1 37.05 10.3 9
203 21 217 0 24.62 4.9 7
39 20 217 0 24.62 4.9 8
18 4.4 218 0 46.04 12.8 7
6 5.33 218 0 46.04 12.8 8
34 12.25 219 0 46.04 12.8 7
19 11.5 219 0 46.04 12.8 8
